SuperCategory,TokenType,Token,AccumulatedScore
rec,Anomaly_Driver,email,2.9707202543249877e-06
rec,Anomaly_Driver,inter,2.960163527632176e-06
rec,Anomaly_Driver,am,2.878009334494891e-06
rec,Anomaly_Driver,##u,2.872340871817869e-06
rec,Anomaly_Driver,heard,2.8259258556317945e-06
rec,Anomaly_Driver,sign,2.7560149987948535e-06
rec,Anomaly_Driver,windows,2.652411153292178e-06
rec,Anomaly_Driver,mb,2.6004744938745717e-06
rec,Anomaly_Driver,ac,2.580955816711139e-06
rec,Anomaly_Driver,se,2.5738712395195764e-06
rec,Anomaly_Driver,fuji,2.5425957574043424e-06
rec,Anomaly_Driver,##pi,2.5174870188493514e-06
rec,Anomaly_Driver,politics,2.4302351619098773e-06
rec,Anomaly_Driver,dartmouth,2.384797335253097e-06
rec,Anomaly_Driver,om,2.3683134010354933e-06
rec,Anomaly_Driver,ring,2.355368485496001e-06
sci,Anomaly_Driver,##ows,7.13343428628832e-06
sci,Anomaly_Driver,##lio,4.242083741701208e-06
sci,Anomaly_Driver,free,4.0336392459039415e-06
sci,Anomaly_Driver,language,3.9955156694304605e-06
sci,Anomaly_Driver,mike,3.93802399685228e-06
sci,Anomaly_Driver,receiver,3.6982928378392898e-06
sci,Anomaly_Driver,places,3.3192858893471565e-06
sci,Anomaly_Driver,blue,3.2902030397963244e-06
sci,Anomaly_Driver,help,3.2722375223670496e-06
sci,Anomaly_Driver,armenians,3.2085189445751895e-06
sci,Anomaly_Driver,##ions,3.0428083846345546e-06
sci,Anomaly_Driver,hope,3.016764725316534e-06
sci,Anomaly_Driver,##ad,2.95520146664785e-06
sci,Anomaly_Driver,believe,2.9118441489117686e-06
sci,Anomaly_Driver,nuts,2.757677430054173e-06
sci,Anomaly_Driver,advance,2.6539813717363357e-06
sci,Anomaly_Driver,##ro,2.584567496910495e-06
sci,Anomaly_Driver,cover,2.4202180242127724e-06
sci,Anomaly_Driver,20,2.356326201891079e-06
sci,Anomaly_Driver,unwilling,2.254833816550672e-06
sci,Anomaly_Driver,inform,2.2521608684655803e-06
