SuperCategory,TokenType,Token,AccumulatedScore
sci,Anomaly_Driver,leave,1.2552144005439913e-05
sci,Anomaly_Driver,interrupt,1.2385778973111883e-05
sci,Anomaly_Driver,op,1.16841521276001e-05
sci,Anomaly_Driver,spin,1.1535379280758207e-05
sci,Anomaly_Driver,wide,1.1375468261576316e-05
sci,Anomaly_Driver,##ont,1.097256172215566e-05
sci,Anomaly_Driver,u,1.0815401168429162e-05
sci,Anomaly_Driver,rescued,1.0494151501916349e-05
sci,Anomaly_Driver,officers,1.0483080404810608e-05
sci,Anomaly_Driver,offer,1.0465129764725135e-05
sci,Anomaly_Driver,radio,1.0453356344442e-05
sci,Anomaly_Driver,ka,1.0452367087054882e-05
sci,Anomaly_Driver,ideas,1.038538161139968e-05
sci,Anomaly_Driver,bc,1.0301026304659899e-05
sci,Anomaly_Driver,year,9.482953885253664e-06
sci,Anomaly_Driver,production,9.434885711812058e-06
sci,Anomaly_Driver,everywhere,9.287674220104237e-06
sci,Anomaly_Driver,ca,9.152486779839818e-06
sci,Anomaly_Driver,index,8.55289791843461e-06
sci,Anomaly_Driver,lyle,8.322202484123409e-06
sci,Anomaly_Driver,nice,8.247944379036198e-06
sci,Anomaly_Driver,##ore,8.19504103901636e-06
sci,Anomaly_Driver,##lt,8.157794559338072e-06
sci,Anomaly_Driver,fa,8.129574010240503e-06
soc,Anomaly_Driver,##vers,0.000610692091868259
soc,Anomaly_Driver,rt,0.0006008513815686456
soc,Anomaly_Driver,##at,0.0003017329947397229
soc,Anomaly_Driver,##ions,0.0002779468661174178
soc,Anomaly_Driver,thanks,0.00020231799121575022
soc,Anomaly_Driver,carroll,0.00018851709319278598
soc,Anomaly_Driver,##va,0.0001281522096178378
soc,Anomaly_Driver,guru,0.00012105772475479171
soc,Anomaly_Driver,assistant,0.00011756978892663028
soc,Anomaly_Driver,5,0.000110078251827872
soc,Anomaly_Driver,##19,9.732024627737701e-05
soc,Anomaly_Driver,##cci,9.62923062616028e-05
soc,Anomaly_Driver,numbers,9.212186314471183e-05
soc,Anomaly_Driver,6,9.105232941237773e-05
soc,Anomaly_Driver,kay,8.613868849352002e-05
soc,Anomaly_Driver,verify,7.787309587001801e-05
soc,Anomaly_Driver,fa,7.601057086503715e-05
soc,Anomaly_Driver,y,7.183718807937111e-05
soc,Anomaly_Driver,##i,6.855036378965451e-05
soc,Anomaly_Driver,windows,6.825481355008379e-05
soc,Anomaly_Driver,recent,6.562378694070503e-05
soc,Anomaly_Driver,ha,6.490881492027256e-05
soc,Anomaly_Driver,1985,6.375224784278543e-05
soc,Anomaly_Driver,holland,6.247445708140731e-05
soc,Anomaly_Driver,image,6.217110631041578e-05
soc,Anomaly_Driver,rob,6.160458106023725e-05
soc,Anomaly_Driver,name,6.027996951161185e-05
soc,Anomaly_Driver,been,5.809283882172167e-05
soc,Anomaly_Driver,h,5.775277381872002e-05
soc,Anomaly_Driver,various,5.596467763098189e-05
soc,Anomaly_Driver,relay,5.558870543609373e-05
soc,Anomaly_Driver,what,5.408194867868587e-05
soc,Anomaly_Driver,running,5.395325301833509e-05
soc,Anomaly_Driver,hardware,5.110933652758831e-05
soc,Anomaly_Driver,ps,5.096625227452023e-05
soc,Anomaly_Driver,kendall,4.633261305571068e-05
soc,Anomaly_Driver,advance,4.60161226328637e-05
soc,Anomaly_Driver,##za,4.600020993166254e-05
soc,Anomaly_Driver,sound,4.592171471813344e-05
soc,Anomaly_Driver,##ior,4.568768781609833e-05
soc,Anomaly_Driver,somebody,4.556009412226558e-05
soc,Anomaly_Driver,##j,4.5353471159614854e-05
soc,Anomaly_Driver,den,4.489603161346167e-05
soc,Anomaly_Driver,boot,4.478707869566278e-05
soc,Anomaly_Driver,w,4.40156723925611e-05
soc,Anomaly_Driver,distance,4.3984616422676484e-05
soc,Anomaly_Driver,net,4.385328816169931e-05
soc,Anomaly_Driver,##ware,4.3655540866893713e-05
soc,Anomaly_Driver,inc,4.2754283640533686e-05
soc,Anomaly_Driver,des,4.1710774439707166e-05
talk,Anomaly_Driver,.,0.004206896307661623
talk,Anomaly_Driver,',0.000888318413828415
talk,Anomaly_Driver,t,0.00028782834428966455
talk,Anomaly_Driver,holland,0.00023472041357308626
talk,Anomaly_Driver,since,0.00010629528479171313
talk,Anomaly_Driver,d,6.956989377613355e-05
talk,Anomaly_Driver,weeks,6.600863105177268e-05
talk,Anomaly_Driver,few,5.970665922063745e-05
talk,Anomaly_Driver,he,5.2093150716814304e-05
talk,Anomaly_Driver,ve,4.3419569379921086e-05
talk,Anomaly_Driver,miami,4.2462544752197576e-05
talk,Anomaly_Driver,re,4.2413504058913534e-05
talk,Anomaly_Driver,want,4.228100968646231e-05
talk,Anomaly_Driver,appears,4.201673925763316e-05
talk,Anomaly_Driver,##uded,4.192136402707547e-05
talk,Anomaly_Driver,##ibe,4.0973125942400655e-05
talk,Anomaly_Driver,correct,3.551948659605841e-05
talk,Anomaly_Driver,looks,3.547409016846359e-05
talk,Anomaly_Driver,greg,3.290821878181305e-05
talk,Anomaly_Driver,try,3.1673668047460524e-05
talk,Anomaly_Driver,don,3.0239511653462613e-05
